Geneid	S1	S2	S3	S4	S5	S6	S7	S8
ENSG00000157911.11	96	71	214	143	34	18	151	178
ENSG00000149527.18	12	5	13	8	0	2	2	0
ENSG00000224387.1	0	0	1	0	0	0	0	0
ENSG00000229393.1	4	0	0	0	0	0	0	0
ENSG00000157881.16	84	94	163	120	17	21	164	125
ENSG00000197921.6	44	44	19	20	30	20	43	36
ENSG00000272449.2	43	82	33	31	24	12	59	49
ENSG00000238164.6	2	0	6	0	3	0	0	0
ENSG00000157873.18	12	5	8	21	0	3	20	15
ENSG00000225931.3	0	5	0	0	0	1	0	0
ENSG00000228037.1	2	0	0	4	0	0	0	0
ENSG00000289610.1	0	7	5	2	0	0	0	1
ENSG00000157870.17	10	0	193	97	4	5	200	142
ENSG00000142606.16	0	1	4	2	0	0	0	0
ENSG00000237058.1	0	0	0	0	0	0	0	0
ENSG00000215912.12	6	0	9	15	0	1	8	10
ENSG00000285945.1	0	0	0	0	0	0	0	0
ENSG00000283259.1	0	0	0	0	0	0	0	2
ENSG00000233234.1	1	0	0	0	0	0	0	0
ENSG00000287396.1	0	0	0	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0	0	0	0
ENSG00000284745.1	0	0	0	0	0	0	0	0
ENSG00000169717.7	0	0	1	0	0	0	0	0
ENSG00000177133.13	2	1	3	0	0	3	0	5
ENSG00000142611.17	18	12	10	18	0	0	0	0
ENSG00000283572.1	0	0	0	0	0	0	0	0
ENSG00000226286.1	0	0	0	1	0	0	0	0
ENSG00000279839.1	0	1	0	0	0	0	1	0
ENSG00000272235.1	0	6	2	0	0	0	2	0
ENSG00000287828.1	2	0	0	0	0	0	0	0
ENSG00000286518.1	0	10	0	0	0	0	0	0
ENSG00000130762.15	3	21	7	10	4	0	5	0
ENSG00000272088.1	0	0	0	0	0	0	0	0
ENSG00000162591.16	54	24	21	33	0	1	5	1
ENSG00000207776.1	0	0	0	0	0	0	0	0
ENSG00000238260.2	0	1	5	8	0	0	5	11
ENSG00000158109.15	74	113	168	93	15	19	186	125
ENSG00000116213.16	226	222	576	316	71	93	378	424
ENSG00000078900.15	66	98	53	20	11	22	22	23
ENSG00000227589.1	21	5	7	1	0	1	0	0
ENSG00000235131.1	0	0	0	0	0	0	0	0
ENSG00000227372.12	51	74	246	112	34	33	268	205
ENSG00000276189.1	0	0	0	0	0	0	0	0
ENSG00000162592.10	0	8	4	7	0	0	5	3
ENSG00000235169.11	13	20	20	15	1	4	26	19
ENSG00000130764.10	203	216	520	274	49	51	381	303
ENSG00000266075.2	5	0	3	0	3	0	2	3
ENSG00000272153.1	3	0	10	5	0	0	2	0
ENSG00000116198.14	84	95	393	136	41	29	268	210
ENSG00000169598.17	16	14	206	148	2	11	186	144
ENSG00000198912.12	189	253	1519	759	104	94	887	700
ENSG00000236423.7	0	5	1	5	3	0	3	0
ENSG00000233304.7	3	3	3	3	0	0	1	4
ENSG00000226374.3	3	0	0	0	0	0	0	0
ENSG00000284668.2	0	0	2	2	0	0	0	0
ENSG00000284703.1	0	0	4	2	3	0	3	4
ENSG00000229280.1	0	0	0	3	0	0	0	0
ENSG00000235054.4	4	0	0	1	0	0	0	0
ENSG00000284694.1	0	0	2	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0	0	0
ENSG00000232596.3	11	0	6	3	1	0	0	0
ENSG00000196581.11	11	1	9	6	1	0	5	0
ENSG00000287586.1	10	7	1	6	0	0	0	0
ENSG00000284739.1	0	0	0	0	0	0	0	0
ENSG00000284674.1	0	0	0	2	0	0	1	0
ENSG00000231510.1	0	0	0	0	0	0	0	0
ENSG00000284616.1	0	0	0	2	0	0	0	0
ENSG00000284692.2	0	0	2	0	0	0	2	0
ENSG00000284666.1	0	0	0	0	0	0	0	0
ENSG00000260972.1	0	0	1	1	0	0	0	0
ENSG00000283356.1	0	0	0	0	0	0	0	0
ENSG00000236948.2	0	0	1	0	0	0	0	0
ENSG00000264341.1	0	0	0	0	0	0	0	0
ENSG00000264101.1	0	0	0	0	0	0	0	0
ENSG00000131697.18	164	209	243	135	124	117	221	197
ENSG00000069424.16	114	38	84	63	9	20	82	53
ENSG00000116254.18	3	8	11	3	0	2	4	0
ENSG00000285629.1	0	0	1	0	0	0	0	0
ENSG00000116251.11	2544	2818	7350	4683	408	529	4254	4007
ENSG00000226944.1	58	34	93	90	59	50	80	82
ENSG00000158286.13	9	45	136	92	13	11	103	83
ENSG00000116237.16	62	105	643	348	47	76	635	608
ENSG00000225077.3	7	13	50	65	7	5	38	29
ENSG00000173673.8	0	0	4	3	0	0	2	0
ENSG00000158292.7	56	130	354	243	21	51	426	327
ENSG00000097021.20	1231	1252	1597	1003	890	978	1838	1498
ENSG00000271746.1	0	12	65	20	0	11	24	35
ENSG00000069812.11	50	25	15	17	16	2	7	37
ENSG00000187017.18	319	386	80	54	86	97	82	50
ENSG00000265392.1	0	0	0	0	0	0	0	0
ENSG00000231868.1	11	16	0	0	8	20	0	1
ENSG00000215788.11	29	51	28	6	0	4	18	11
ENSG00000171680.23	100	140	92	49	20	14	105	70
ENSG00000162408.11	91	76	476	214	70	55	293	223
ENSG00000253022.1	0	0	0	0	0	0	0	0
ENSG00000229519.2	0	0	1	1	0	0	0	0
ENSG00000173662.21	6	2	21	12	0	4	17	12
ENSG00000204859.13	63	53	248	124	13	23	170	155
ENSG00000162413.17	134	53	410	219	23	24	226	260
ENSG00000116273.6	170	130	203	102	9	30	201	188
ENSG00000041988.16	174	373	521	323	49	100	544	421
ENSG00000007923.17	106	133	834	407	47	50	670	494
ENSG00000228750.7	0	0	1	1	7	0	0	0
ENSG00000284744.1	0	0	0	0	0	0	0	0
ENSG00000237436.1	7	15	25	14	0	6	30	25
ENSG00000171735.19	705	786	1399	1078	340	365	1259	1036
ENSG00000227950.1	0	8	7	0	0	0	0	0
ENSG00000237365.1	0	0	0	0	0	0	0	0
ENSG00000207056.1	0	0	0	0	0	0	0	0
ENSG00000237402.1	0	5	2	3	0	0	0	3
ENSG00000237728.2	7	0	9	0	8	5	4	6
ENSG00000225126.1	0	0	0	0	0	0	0	0
ENSG00000270171.1	0	5	0	3	0	3	0	0
ENSG00000270035.1	2	0	0	0	0	0	0	0
ENSG00000269978.1	0	0	0	0	0	0	4	2
ENSG00000049245.13	1438	1401	3655	2431	306	331	3202	2826
ENSG00000269925.1	0	7	4	0	0	0	3	2
ENSG00000049246.15	78	121	331	207	12	20	218	178
ENSG00000236266.1	0	0	0	0	0	0	0	0
ENSG00000049247.14	0	0	0	3	0	0	3	3
ENSG00000049249.9	1	0	4	0	7	0	2	6
ENSG00000270330.1	0	0	0	0	0	0	0	0
ENSG00000116288.13	3273	3135	6784	4205	1933	1962	5801	5040
ENSG00000200344.1	0	0	2	0	0	0	0	0
ENSG00000284747.1	0	6	4	14	8	4	2	0
ENSG00000284716.1	0	0	2	0	0	0	0	0
ENSG00000116285.13	13603	15547	8648	4586	624	577	3932	3886
ENSG00000238290.1	12	7	30	7	0	3	7	1
ENSG00000232848.1	6	3	10	14	0	5	8	6
ENSG00000229305.1	5	0	0	0	0	0	0	0
ENSG00000288816.1	0	3	1	5	0	0	0	0
ENSG00000227634.3	8	27	28	21	0	1	6	10
ENSG00000200975.1	0	0	0	0	0	0	0	0
ENSG00000233645.1	0	0	2	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0	0	0
ENSG00000162426.16	43	33	37	13	4	4	19	14
ENSG00000252254.1	0	0	0	0	0	0	0	0
ENSG00000142599.19	854	656	834	452	771	804	614	772
ENSG00000232912.6	0	0	8	0	0	0	0	1
ENSG00000221083.1	0	0	0	0	0	0	0	0
ENSG00000270282.1	0	0	2	0	0	0	0	1
ENSG00000234619.1	2	20	4	9	0	0	5	5
ENSG00000224315.2	0	1	4	1	1	0	0	0
ENSG00000222511.2	0	3	0	0	0	0	0	0
ENSG00000226545.1	1	1	2	3	2	1	1	1
ENSG00000228423.2	0	0	1	0	0	0	1	0
ENSG00000229716.2	0	0	1	0	3	0	0	0
ENSG00000074800.16	89362	87538	34851	19936	33848	37138	26827	24701
ENSG00000274258.1	0	0	14	10	0	0	16	7
ENSG00000230679.1	9	14	39	24	2	18	23	22
ENSG00000201725.1	0	0	0	2	0	0	0	0
ENSG00000238249.2	0	0	2	0	0	0	0	0
ENSG00000232208.2	1	0	6	0	0	0	0	0
ENSG00000232663.2	0	0	0	0	0	0	0	0
ENSG00000131686.15	0	0	9	13	0	3	0	1
ENSG00000265141.2	88	75	95	74	66	85	77	111
ENSG00000197241.4	0	8	3	1	0	4	0	0
ENSG00000142583.18	9	7	17	9	0	0	0	13
ENSG00000252404.1	0	0	0	0	0	0	0	0
ENSG00000180758.12	9	24	41	32	1	1	19	24
ENSG00000228526.7	5	0	3	4	0	0	1	0
ENSG00000284357.1	0	0	0	0	0	0	0	0
ENSG00000234546.5	0	3	2	3	0	0	0	0
ENSG00000049239.13	29	23	77	38	14	20	65	30
ENSG00000171621.14	36	23	29	20	0	5	40	22
ENSG00000284652.1	5	0	2	3	0	0	9	1
ENSG00000284693.2	11	0	61	34	2	3	64	58
ENSG00000252956.1	0	0	0	0	0	0	0	0
ENSG00000235263.1	0	0	0	0	0	0	0	0
ENSG00000171612.7	187	142	493	298	137	118	579	472
ENSG00000231181.1	0	0	6	0	0	0	0	3
ENSG00000188807.13	46	37	170	98	11	21	149	114
ENSG00000171608.17	19	24	7	15	37	17	7	5
ENSG00000179840.5	0	0	0	0	0	0	0	0
ENSG00000233268.3	0	1	0	5	0	0	1	0
ENSG00000231789.3	73	106	174	106	147	162	317	221
ENSG00000171603.18	152	106	222	128	126	107	179	150
ENSG00000271264.1	0	0	0	0	0	0	0	0
ENSG00000280113.2	0	0	0	4	0	0	0	0
ENSG00000178585.15	842	844	952	480	551	715	1453	1327
