baseMean log2FoldChange lfcSE pvalue padj
100129543 249.15675583834 -0.578397285287976 0.19581216341203 0.00174087603896165 0.00551572167961677
100129550 67.1643940693483 -1.61990921087843 0.2659416757346 1.46686602795344e-10 1.51651380120725e-09
100129617 107.97119415348 3.38382080805681 0.248460634704484 2.94761268804678e-43 7.24681363305161e-41
100129842 105.627877140656 -0.801319888958908 0.226843536934488 0.000164020499345289 0.000646967964547257
100129931 22.6184646716319 1.45438124145294 0.546750030717122 0.000833366666319118 0.00283747204745709
100130148 27.7696324641477 1.61762274023146 0.400863352553 6.82905672621633e-06 3.4669801964372e-05
100130331 5286.00042525437 0.753092525634924 0.156643738312356 6.04793626825388e-07 3.63308686436228e-06
100130418 77.6963568587371 -0.842830383687077 0.336626239416306 0.00336668623019928 0.00997829967668591
100130522 36.8410166808782 0.795230001496988 0.320309118672927 0.00445819410431115 0.012826822058402
100130557 31.4810253220098 -1.22057224719553 0.374952004888689 0.00018277433167031 0.000714233480611253
100130613 120.593350229572 1.0396478831555 0.472677588991617 0.00407375544511976 0.011825328981082
100130691 15.5776062755235 -0.85895122692742 0.484582671403055 0.0193784642633765 0.047045982604729
100130705 14.9020147847893 -1.04856911339179 0.486750097636234 0.00619059389901429 0.0172184504900134
100130855 152.366240180871 2.71139187085825 0.245562131270504 2.21805719741212e-29 1.74672004296204e-27
100130894 43.858074374757 1.25674543665822 0.331138480974542 2.18008320041972e-05 0.000101760771753789
100130899 18.8889767173445 1.29479196725829 0.507096680912473 0.00129792298533541 0.0042257957662083
100130935 231.340468808878 1.4270537371652 0.207475182242827 9.01195672674784e-13 1.24014366970127e-11
100130958 8.29620909635271 1.84262822183702 0.74777615548098 0.00116886641956398 0.00384661231119978
100131067 72.1104220214533 -1.92507522625966 0.247936074733666 9.46712010309876e-16 1.8351648199853e-14
100131187 66.1019563939302 1.21528949372505 0.56100940303801 0.00397941774568297 0.0115848464625225
100131257 116.589679583441 -1.02853749488016 0.220049252957799 7.40995694148264e-07 4.4027330368491e-06
100131347 14.2459727390544 0.865094679684398 0.487298809816844 0.0189094356442644 0.0460514885948744
100131434 47.4203972040925 0.730166539375479 0.38220102686017 0.0170803589223124 0.04207478444206
100131496 43.0259431382819 0.974112517900531 0.297445538461939 0.000282056518698472 0.00105476895139328
100131564 86.6235623855563 -0.515688672035859 0.227198256891203 0.0141515742308359 0.0356403935319461
100131655 8.09431273567445 1.24584689329619 0.751222519281422 0.00974749214996178 0.0256539741179151
100131998 192.123771896466 -0.571842446624254 0.217825440422957 0.00450162218671811 0.0129332625458511
100132077 55.9747999001245 -1.4050777852981 0.316718148572095 1.20499652217532e-06 6.94673431142533e-06
100132273 57.2224327869092 -1.38937746177419 0.318766324244886 1.82206043680248e-06 1.01640117337958e-05
100132594 525.390658965061 1.3400949216562 0.18541697113805 8.25895564307551e-14 1.29335923485985e-12
100132618 17.8605269530317 1.09748224772501 0.502231591039228 0.00484600402539338 0.0138300454631838
100132708 69.869344673508 -1.23475293553045 0.325892831604777 2.42362750694626e-05 0.00011247844746312
100132724 180.332143066976 -0.686022618966735 0.192314128871773 0.000158743729565823 0.000628613943831661
100132832 153.141916657121 -1.17339349965356 0.271956880969807 2.98994206947426e-06 1.61601158500271e-05
100132979 180.807235224728 0.840428069008731 0.243632830052464 0.000167663263447459 0.000660303065266803
100133050 203.119520096512 0.843428554377375 0.253055397623081 0.000239338537050093 0.000908675123715606
100133144 22.0631514241449 1.11000124966344 0.433667249168343 0.00198402383499283 0.0061954647635464
100133315 33.6941941479788 -0.634286123445742 0.315994768696082 0.0206917156649595 0.0497430226336255
100134868 60.2999035967724 -0.571342366015141 0.26822177292702 0.0178128954468226 0.043679536769463
100134869 140.877576534029 1.90846850488423 0.255623299455472 6.61831357790412e-15 1.17245344227194e-13
10014 1602.73353983136 1.16073986015827 0.150822592310255 2.94924655775613e-15 5.38558067068511e-14
100144604 7.21880439819725 1.82195658323685 1.56443845346938 0.00565896692457685 0.0158892441781991
100151683 6377.95469922758 2.00806830553172 0.234243407214004 3.06088144438974e-19 8.61834775403591e-18
100151684 7711.4325456158 1.29324257295876 0.253508094124216 3.52412281397995e-08 2.58444219461025e-07
100169851 3.82058209802441 1.8275818749898 1.28935229234425 0.00867177212446887 0.0231645589014565
100170217 998.465668677303 -1.69765198398761 0.219624415173167 6.79255604589327e-16 1.33597980375813e-14
100170218 1097.76517285785 -1.73703012663481 0.273970957071256 1.09723208745663e-11 1.3182478476237e-10
100170219 527.143234301721 -1.49419296533713 0.272123712888407 2.54453823879642e-09 2.22357567811599e-08
100170220 489.709347304165 -1.40498806218028 0.285282691221089 5.54472163548555e-08 3.96248097027255e-07
100170221 38.9050178356536 -1.89502482669996 0.496020927439192 1.13496298339675e-05 5.55765211204236e-05
100170222 66.3041031275571 1.11063497485052 0.410264224385155 0.000997636511504317 0.00333482873021506
100170226 527.601911039341 -1.49582458219876 0.271793089701036 2.35818285160318e-09 2.07511856343606e-08
100170227 106.072643416378 -2.06196842409378 0.510790697694947 1.59556788996552e-06 8.99514783604723e-06
100170841 372.169507327228 -2.50929825037519 0.297728501091686 4.50012562462464e-19 1.24447918508138e-17
10018 253.527489858529 -0.608724039872875 0.172427674431323 0.000223261556450657 0.000854395022407982
100188953 57.8213959962195 0.90665797780175 0.592460069599381 0.0156559308595701 0.038917825663247
100188954 24.8290420388358 2.12952943324548 0.45788295953886 2.07134512416473e-07 1.34530662703482e-06
