"entrez","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"152573",78.85864391993184,-3.816993470245764,0.7524517548430941,-5.072741801288918,3.9212439106356213e-7,3.1688435834086674e-6,"SHISA3"
"5864",342.9442382158639,1.4931342393955023,0.2944301570840229,5.071268018817106,3.9517376634924435e-7,3.1922215097922914e-6,"RAB3A"
"998",7507.911676486979,-1.335196391211427,0.2633135847902625,-5.07074632049445,3.9625867614299763e-7,3.199718217453968e-6,"CDC42"
"84709",42.59472186237228,-3.739190577423689,0.7376701916094304,-5.068919172761498,4.000810694144257e-7,3.229304935831437e-6,"MGARP"
"100129387",762.8441499650937,2.3132804896483004,0.45662366105646657,5.06605479947356,4.061450414909888e-7,3.2769542766185516e-6,"GABPB1-AS1"
"220004",27.36160942723368,-2.1682423460113474,0.4281054350924981,-5.064739123302344,4.0896000283034273e-7,3.29836187336121e-6,"SAXO4"
"83642",303.0687601911576,1.591411460577443,0.314267671878997,5.0638726250856205,4.108241949041379e-7,3.3120873926718183e-6,"SELENOO"
"8501",110.62207663131281,2.1788793378878113,0.43059673765199824,5.060138982401554,4.1895098868744174e-7,3.376271559169399e-6,"SLC43A1"
"51014",1860.0753389753136,-1.4712633001961806,0.29076131838795893,-5.060037931982045,4.1917308057714826e-7,3.3767272213791838e-06,"TMED7"
"60487",792.8002766573146,1.4057017275229602,0.2778108055218206,5.059924594662858,4.1942231216191167e-7,3.377401066390254e-6,"TRMT11"
"706",863.3394279463098,2.4056378894391193,0.47548089517716396,5.059378649783142,4.2062486297758627e-7,3.3857479598081402e-6,"TSPO"
"26267",191.6060094577864,-1.612845725582275,0.3187883989249682,-5.059298679064803,4.2080129327768963e-7,3.385831944372795e-6,"FBXO10"
"21",815.3477066200637,2.4262756057763744,0.4797482796254943,5.057393030508409,4.2502669328444537e-7,3.418481649417521e-6,"ABCA3"
"83892",1872.770488363433,-1.0481461672941852,0.20726671920649836,-5.056992127375378,4.25920814017536e-7,3.424322760550131e-6,"KCTD10"
"84079",1274.8575738417203,1.4120776181171315,0.2792485003128926,5.056706182969382,4.265596546406957e-7,3.4281076736431327e-6,"ANKRD27"
"2967",1799.181786411416,1.0069583959471453,0.1992136338225605,5.054666071921778,4.3114445515452586e-7,3.4635893862886426e-6,"GTF2H3"
"30845",346.04427007973845,-1.9238898857662756,0.38063306717240686,-5.054447581389071,4.3163828429221196e-7,3.466191371932381e-6,"EHD3"
"11174",213.90224624689367,-1.84175646615185,0.36446324955117787,-5.053339310396591,4.341515980799646e-7,3.48500202520151e-6,"ADAMTS6"
"100113391",110.20106274007678,2.5634199785205545,0.5073039518553113,5.053025842092533,4.348650324737318e-7,3.489355651993197e-6,"SNORD126"
"3166",269.2177081549344,1.9935118029084178,0.39457243814485293,5.0523341475173495,4.3644328989936066e-7,3.500642463262784e-6,"HMX1"
"23308",90.32190848627741,-3.0726224663341735,0.6082200905104803,-5.051826656622466,4.376047579485888e-7,3.508578713788273e-6,"ICOSLG"
"9424",35.23748759379343,-3.0463932145413795,0.6030742654750133,-5.051439580400398,4.384926431049891e-7,3.514316086999003e-6,"KCNK6"
"55841",1026.0214951691426,-1.0760305666988006,0.21303787178165864,-5.050888641065747,4.397593993587758e-7,3.523084237518048e-6,"WWC3"
"23086",70.31852094336764,-1.4598064981552283,0.28907151738662346,-5.049983863345437,4.418473872986234e-7,3.538422127495101e-6,"EXPH5"
"54606",1568.9514138922652,1.2642652534643186,0.25038776707161936,5.049229314396562,4.435959975114803e-7,3.551031224977105e-6,"DDX56"
"6147",11081.344207764232,1.572356108317378,0.3114787850906687,5.04803596129245,4.463751387743982e-7,3.571876698933464e-6,"RPL23A"
"100616353",84.77118785976141,-4.485702146228196,0.8886406250326131,-5.047824756001416,4.46868750585953e-7,3.5744242767457583e-6,NA
"80824",1416.1805576163947,1.1073560728757432,0.2194468956347917,5.0461232074963105,4.5086472593998363e-7,3.604973663268462e-6,"DUSP16"
"100499489",39.57704990311753,-2.5219589746074966,0.4997989976052575,-5.045946443852907,4.5128181467726856e-7,3.606894660647432e-6,"LINC03027"
"286",460.66551526981164,2.5591302849686985,0.5072386234417842,5.045219679061782,4.530005919347861e-7,3.6192138949055356e-6,"ANK1"
"8266",938.5049197587927,1.46095541552192,0.28958434905235125,5.045008199865827,4.5350191891793553e-7,3.621800563887679e-6,"UBL4A"
"6871",826.0755127009955,0.992548793785941,0.19675287329282606,5.044647009087064,4.5435938605188585e-7,3.627228335538284e-6,"TADA2A"
"1130",2116.693498740994,1.8858503656754477,0.3738470579407722,5.044443511373624,4.54843178299887e-7,3.629669916972925e-6,"LYST"
"51715",883.3462156510844,-1.2874571755083473,0.25529641732459635,-5.042989592256641,4.5831418886248656e-7,3.655938408380187e-6,"RAB23"
"5075",47.96940401841063,1.5113957324485159,0.2997311513292458,5.042504677094081,4.5947752142695007e-7,3.663785380979476e-6,"PAX1"
"7101",88.71358461428618,-4.676016675788513,0.9273453270851272,-5.042368294976344,4.598052209176636e-7,3.664965647150287e-6,"NR2E1"
"5160",2528.849336310837,1.060880487373389,0.2104859483782762,5.0401487393677264,4.651701732861486e-7,3.706279697077177e-6,"PDHA1"
"29952",412.64144274107076,2.681306780968377,0.5320148708139053,5.0399094613020265,4.657521316630804e-7,3.709467485174483e-6,"DPP7"
"153241",2133.0695694432125,1.1459473975749426,0.22744038272037734,5.038451764231367,4.6931265871612805e-7,3.736366237249361e-6,"CEP120"
"254559",49.30554161395314,-1.7849521636229317,0.35436109343848826,-5.037099717417969,4.7263858579888535e-7,3.7613769935777857e-6,"MIR9-3HG"
"51204",729.627684719873,1.2684102528915593,0.2518218839978948,5.0369341724969505,4.7304737186985393e-7,3.763161951649536e-6,"TACO1"
"79158",1086.809280973714,-1.4951862722272313,0.2968655283496854,-5.03657760649803,4.739290118105472e-7,3.7687056740349825e-6,"GNPTAB"
"54660",60.11284846112151,-1.9817281468306387,0.3935751478658183,-5.035196347067803,4.773592785814787e-7,3.7945039770952533e-6,"PCDHB18P"
"92104",365.3471577698836,-1.1399316501375754,0.2264325113681201,-5.034310856025195,4.795709204115025e-7,3.8105991677574665e-6,"IFT70A"
"22973",44.71506056851247,2.2094094712383225,0.4389288830476274,5.033638834377148,4.812559844492281e-7,3.822499343773717e-6,"LAMB2P1"
"23590",484.6241695150632,1.983204271946875,0.39400414823062824,5.033460385767352,4.817043949272686e-7,3.824571640066757e-6,"PDSS1"
"83849",100.56178535420297,-2.3128586517171383,0.4596857664756259,-5.031390615919308,4.869348995161661e-7,3.864595776432389e-6,"SYT15"
"255512",26.09672588951678,1.9582195311138275,0.3892292703130772,5.031018169673444,4.878819034486987e-7,3.870605672751112e-6,"TOLLIP-DT"
"908",14875.116490354552,1.4629544424904493,0.29080243968925773,5.030750237356042,4.88564262334571e-7,3.874512153514092e-6,"CCT6A"
"192668",49.441800415792756,-2.479011896203063,0.4929672263001694,-5.028755998260997,4.936721073199931e-7,3.913497851926118e-6,"CYS1"
"100526820",58.14638284982815,2.204827015626363,0.4384748261174206,5.028400456075271,4.945881507241132e-7,3.917714372939704e-6,"CAHM"
"160335",381.5319232736065,-2.594576602639179,0.5159824147930168,-5.028420597783313,4.945362124652191e-7,3.917714372939704e-6,"TMTC2"
"5902",7835.258440407435,1.6621749037570832,0.3306025743494521,5.027713129662863,4.963636757257277e-7,3.93025228795717e-6,"RANBP1"
"1739",4656.152118252584,-1.236804478402813,0.24602452240081535,-5.027159351163582,4.97798685193325e-7,3.940085285948099e-6,"DLG1"
"91612",3064.403050722137,2.036442199082877,0.40521231205155844,5.025617777437533,5.018144764494169e-7,3.970329664910302e-6,"CHURC1"
"79621",833.5834341729621,1.5009842422445778,0.29869800272233116,5.025089650967264,5.031974141620914e-7,3.97972766834594e-6,"RNASEH2B"
"1109",11.080085166767232,-2.5817088553809042,0.5138299065723224,-5.024442568170221,5.048968585694821e-7,3.991620629551057e-6,"AKR1C4"
"1051",1118.2316648969772,1.5566165029823344,0.3098643192537582,5.023542261113224,5.072705605021419e-7,4.008832864224018e-6,"CEBPB"
"9618",1175.2282037122718,1.3101310348007602,0.26085768295307166,5.022397730322756,5.103037099515105e-7,4.031241197475197e-6,"TRAF4"
"256435",105.92539929960174,-2.72172103916476,0.542085673606674,-5.020831893704654,5.144817167092291e-7,4.062672696754993e-6,"ST6GALNAC3"
"5021",88.46128200063144,-2.5626652470426783,0.5104519110735839,-5.020385253633146,5.156794872710185e-7,4.0705551477813325e-6,"OXTR"
"8165",905.8649727153995,1.8570846160325254,0.3699869763257524,5.019324286694537,5.185355102265159e-7,4.091515977597774e-6,"AKAP1"
"6228",22005.78453586016,1.235030807977953,0.24607275041869042,5.018966162960181,5.19502984171237e-7,4.097564720858748e-6,"RPS23"
"79173",75.36255980802831,1.443964421462534,0.28794391396901314,5.014741939008043,5.310469222134784e-7,4.186998095240943e-6,"BRME1"
"51720",832.0892927975104,0.8945945324385678,0.17841932153729675,5.014000304062146,5.330990203333259e-7,4.20155360036277e-6,"UIMC1"
"93164",218.93677628265922,-2.5982476391497333,0.5182807251235185,-5.013205224891413,5.353074902218722e-7,4.217329809986684e-6,"HTR7P1"
"1445",1966.4780675544243,1.6530001781605472,0.3297670785783456,5.01262947558857,5.369122376961033e-7,4.228339348373521e-6,"CSK"
"1468",313.6644224592231,1.9631133150828353,0.39191499756892534,5.009028302719102,5.470552877133216e-7,4.306556041485381e-6,"SLC25A10"
"8642",343.6901743455268,-2.3741245397091766,0.47412048839212806,-5.007428697630176,5.516197567578559e-7,4.3408133405053955e-6,"DCHS1"
"5213",3759.9688398328,1.5804088931350695,0.31562039575427914,5.007309142231321,5.51962378594612e-7,4.341834414266988e-6,"PFKM"
"4115",15.902162684279073,2.7382220793260528,0.546988219459264,5.005998268176555,5.557325648266641e-7,4.369806139078438e-6,"MAGEB4"
"113419",999.96847456362525,-1.041305206428848,0.2081155668897539,-5.003495038794785,5.630011568405027e-7,4.425254179605292e-6,"TEX261"
