"entrez","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"55723",364.8093688340808,-1.8693754118332806,0.2726173882265538,8.616236503808298e-13,9.349903131049442e-12,"ASF1B"
"80218",2038.9618965561451,-1.7665419895736318,0.2637940196929991,8.644319161234949e-13,9.372812187322894e-12,"NAA50"
"119392",313.3057995697218,-1.401331462367282,0.2021871999100423,8.839427459702677e-13,9.576639983537671e-12,"SFR1"
"79867",229.9120652808671,1.2591626881707616,0.18103868100537815,8.978936656411009e-13,9.719429009342683e-12,"TCTN2"
"836",626.0745212314471,-1.9529572442084484,0.2942371041042667,8.985682602166571e-13,9.719429009342683e-12,"CASP3"
"6608",875.7909484821346,1.6897738181547466,0.24978109478902424,9.061742982148271e-13,9.793821092844333e-12,"SMO"
"3429",7014.566438452236,1.3639330821370177,0.19662787458805717,9.087304085422202e-13,9.813558508313374e-12,"IFI27"
"54545",395.9936631678597,-1.3454979212753577,0.1944960814179285,9.599458976546378e-13,1.0358324714258913e-11,"MTMR12"
"57560",491.39359130197505,-1.2282615060605684,0.17714139592120925,9.650474076251806e-13,1.0405021969142384e-11,"IFT80"
"54913",445.3123981185872,-1.2745593564162827,0.18422779578374396,9.668054893092417e-13,1.0415624842758618e-11,"RPP25"
"50628",198.51607253564458,-1.5951541377994063,0.23223322133889232,9.67840478254332e-13,1.041842692564411e-11,"GEMIN4"
"56648",416.7920775810714,-1.4830006571237369,0.21676867434611047,9.90332722100918e-13,1.0652018758917474e-11,"EIF5A2"
"9497",1342.1097101355863,1.0357449346570824,0.1480521544564059,1.0011911366531358e-12,1.0760203702878826e-11,"SLC4A7"
"146050",124.3102214184446,-1.8697036573374894,0.27298946270485097,1.0187332933752649e-12,1.0939991317436452e-11,"ZSCAN29"
"9135",1087.685424419243,-0.8222581599870757,0.11714749209715133,1.0345035037124618e-12,1.110047853744138e-11,"RABEP1"
"2034",955.2650138966718,1.7339380618192322,0.25844528746743944,1.0577974643524e-12,1.1341377119791083e-11,"EPAS1"
"80347",292.4598944244853,-1.5375313579660153,0.2251582418962555,1.0739252736255032e-12,1.1505119764059674e-11,"COASY"
"4904",8577.216663114838,0.9038913191771787,0.1292247490272383,1.1569533293298855e-12,1.2384743242707254e-11,"YBX1"
"23219",525.7487778861017,-2.199692080931361,0.3373673012139977,1.1716606186899315e-12,1.2532201287419355e-11,"FBXO28"
"10797",3158.9368989570444,-0.928849067633587,0.1330062321871873,1.1954702225911217e-12,1.2776706790729435e-11,"MTHFD2"
"283337",171.55395604137473,-1.7113534920463982,0.25226652561388546,1.2397097629016376e-12,1.3238997428286353e-11,"ZNF740"
"5884",541.3377735902927,-1.186025120122547,0.17134976016724135,1.286356866774561e-12,1.3726244503003153e-11,"RAD17"
"54344",1028.1297139243702,1.6891223544646625,0.25205062365364855,1.3268436519749655e-12,1.4147036400319913e-11,"DPM3"
"90624",337.54077191288934,-2.332788100723563,0.3454101180312741,1.3415331080292292e-12,1.4292323801468293e-11,"LYRM7"
"517",19056.703817931313,1.1908070050625765,0.1731667156128662,1.3485881340538512e-12,1.4356110421499627e-11,"ATP5MC2"
"2778",16386.956913019814,1.300845144050336,0.1902854305882963,1.3918621258339539e-12,1.4805052438162587e-11,"GNAS"
"83943",368.0548375975415,1.106247794929142,0.15962610542282576,1.4074449154468811e-12,1.495896987208167e-11,"IMMP2L"
"5914",525.7781227956643,2.26717919918294,0.35273281280233454,1.4236170189490065e-12,1.5118902701239648e-11,"RARA"
"7594",179.8902323567906,-1.7737526317242889,0.26081020561655194,1.4300517445902628e-12,1.517525312234892e-11,"ZNF43"
"2054",630.0997192953735,-1.395198958552069,0.2037511134584011,1.4403771555276192e-12,1.5272768813934418e-11,"STX2"
"6137",129582.38938153234,1.1473198819452097,0.16647453334374052,1.4474676316746756e-12,1.533585682258945e-11,"RPL13"
"66008",150.54442088949702,-2.360840124004619,0.35201702079562364,1.4909394584007328e-12,1.5784000801730593e-11,"TRAK2"
"219749",327.3986920784539,-1.7621593286357633,0.2639692566103915,1.5000000102831799e-12,1.586742733143773e-11,"ZNF25"
"5425",6266.6427407077845,1.3479196497810715,0.19850868716667247,1.5055223927699432e-12,1.591332434810683e-11,"POLD2"
"30846",332.91304344056465,2.519198036154672,0.3985101356546807,1.5310953027420273e-12,1.6170916217884178e-11,"EHD2"
"140838",530.8518401346994,-2.5936759595448238,0.40832821264117075,1.5334951409020193e-12,1.6183549583538188e-11,"NANP"
"83746",222.69384210752514,-1.8165498105924918,0.2681304540575307,1.5990464576445705e-12,1.686210166512255e-11,"L3MBTL2"
"84520",330.84527273220795,-1.7505641658918636,0.26002304453521724,1.652689431393875e-12,1.7414113953832796e-11,"GON7"
"29090",445.84874164362066,-1.043420682423612,0.1504276043575043,1.6566278674202576e-12,1.7441943365282196e-11,"TIMM21"
"1155",1824.1675690872826,0.7019115991433638,0.10052915749509325,1.7131321863906596e-12,1.800295905737405e-11,"TBCB"
"2055",212.49424031918585,1.63908685097168,0.24347992188957063,1.713929906540631e-12,1.800295905737405e-11,"CLN8"
"857",177.09674404890467,1.5951082350408996,0.2361571792384971,1.7123109526763897e-12,1.800295905737405e-11,"CAV1"
"54522",57.015290096364275,-2.596505863625398,0.3848440067211368,1.7187831321526036e-12,1.8039843256668037e-11,"ANKRD16"
"29110",310.04014585744574,-1.25513160676524,0.18309759437484313,1.7416509680473116e-12,1.82655984909486e-11,"TBK1"
"113246",5054.940796410725,1.4657588289034158,0.21744135548488616,1.7443826391363375e-12,1.8279987983778688e-11,"C12orf57"
"51322",1143.918815100351,-1.333379358496077,0.19678324159765773,1.7481889514908976e-12,1.8305607829279687e-11,"WAC"
"7507",196.01112044680454,-1.736558682822238,0.25757866386921846,1.7845616917073881e-12,1.8671931474712713e-11,"XPA"
"5836",3108.8336088852043,1.1609169009414986,0.16977967144423106,1.7949903554519735e-12,1.876644271310403e-11,"PYGL"
"25798",1133.0330032705383,0.8893268854535998,0.12795432736895707,1.8006698295100845e-12,1.8811193362675283e-11,"BRI3"
"81889",387.76687376969016,-1.1735150266942556,0.17052236553304292,1.8057665388587077e-12,1.884979123831935e-11,"FAHD1"
"55339",778.692514537192,1.1556640666414892,0.16869543433403142,1.8129413145893616e-12,1.8910004635107812e-11,"WDR33"
"2050",722.7667018328858,1.2220367721202758,0.1786144963680471,1.840462352086825e-12,1.9182183196749893e-11,"EPHB4"
"9533",367.1179475990131,-1.204075013586071,0.17560727643470359,1.8526261349519143e-12,1.92940033961491e-11,"POLR1C"
"152789",135.64170470418742,-2.5928393344123863,0.39010029413858416,1.8863496427793374e-12,1.9630008473040396e-11,"JAKMIP1"
"8897",425.7156143023163,1.062057863245596,0.1542164643287048,1.9663714488878487e-12,2.0446917347484244e-11,"MTMR3"
"200895",47.487781079601184,-2.6574613955188435,0.3947440833948439,1.984344291417461e-12,2.0601937450276266e-11,"DHFR2"
"60681",1333.4492416648493,1.1828628275975621,0.17297921088072174,1.982929709652245e-12,2.0601937450276266e-11,"FKBP10"
