"entrez","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"27077",332.7086241016644,0.39014851479184365,0.1603512676401238,2.43308656385214,0.014970721327219336,0.026098427857014824,"B9D1"
"26145",119.10034390379096,-0.7416735356076557,0.3048381629064159,-2.4330074966215647,0.014973990863724944,0.026101271601845274,"IRF2BP1"
"23240",134.1913538301183,-0.43645806290442446,0.17943102818266932,-2.4324558986536564,0.014996817689542238,0.02613820144730193,"TMEM131L"
"126231",31.394865385429416,-1.507911254336505,0.6200058768741921,-2.4320918729653935,0.01501189898076854,0.026159779873140197,"ZNF573"
"23223",78.29909386006956,0.6845502581401718,0.28146725322960564,2.4320778004741923,0.015012482260866232,0.026159779873140197,"RRP12"
"92104",76.16376030218372,-0.7176016683011304,0.29513017660494667,-2.431475075019837,0.01503748292009345,0.026200478771098955,"IFT70A"
"9349",49056.24729933946,0.46071075158485375,0.18948343548436355,2.431403834362462,0.015040440358301849,0.0262027660785637,"RPL23"
"4668",201.5998464366459,-0.6253696442959673,0.2573068343570851,-2.4304431938566085,0.015080369823439558,0.02626945681467735,"NAGA"
"114822",49.408968291586376,1.0064900957295884,0.4143195033759547,2.429260721565155,0.015129648001767502,0.026352416307440674,"RHPN1"
"55596",266.08090499929614,0.3390192892258654,0.13960655560528876,2.42839090009769,0.015165987286237463,0.026412032731309064,"ZCCHC8"
"8821",313.5488137479721,-0.9763957981464796,0.40207998249708843,-2.4283621186079563,0.015167191028040837,0.026412032731309064,"INPP4B"
"79659",706.1122391974533,0.6094974391573609,0.25101231292939125,2.4281575355580665,0.015175749826102643,0.026424048768247794,"DYNC2H1"
"4848",891.1946537993133,-0.4513706120220993,0.1859762611126594,-2.4270334790130614,0.015222851016173447,0.026503164942593745,"CNOT2"
"349114",104.7261658434263,0.8721042178990006,0.3593496251538347,2.4268961391727064,0.015228614764416408,0.02651030271270566,"LINC00265"
"10469",505.29972051682734,0.4251794146991018,0.17523603333841423,2.426324121808893,0.015252641319933712,0.026549227740542324,"TIMM44"
"91869",146.16974447871542,-0.47663292628017506,0.19647860350316718,-2.4258770053426804,0.015271444872668736,0.026579053933947817,"RFT1"
"23460",5.156150537639872,-2.6348491429451757,1.086231567058358,-2.4256790382925946,0.015279776924573127,0.026590650569339055,"ABCA6"
"147657",354.51019553281884,0.45945913954696954,0.18949964658734839,2.42459101017471,0.01532564141625449,0.026667553412381667,"ZNF480"
"7567",35.09702179020134,0.8234865442545699,0.3396513012164739,2.424505783741213,0.015329239145287561,0.02667090073853024,"ZNF19"
"55789",550.2357358419306,1.0576002810061051,0.4362319985670328,2.4243986788685583,0.015333761499996391,0.02667585588752375,"DEPDC1B"
